epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6333,1.51774,5.0066,1.86962,0.03205,1,0.72833,0.23495,1.31619,4.78248,1.78819,0.00035552,0.00035552,0.00035552
2,53.1808,1.41773,4.29123,1.72198,0.01292,1,0.6272,0.28946,1.5933,4.60458,2.03168,0.000707851,0.000707851,0.000707851
3,75.0255,1.47294,3.85648,1.74378,0.86098,0.6,0.82643,0.2533,2.40809,4.53035,3.32266,0.00104566,0.00104566,0.00104566
4,98.7873,1.48539,3.49741,1.687,0.7307,0.8,0.8,0.36956,1.68657,4.26961,2.71086,0.00104501,0.00104501,0.00104501
5,120.93,1.43584,3.28635,1.6974,0.95252,0.6,0.75474,0.26156,2.2885,3.09,3.53852,0.00102301,0.00102301,0.00102301
6,144.074,1.42483,3.00411,1.64531,0.78029,0.72118,0.71292,0.29795,1.49733,3.31268,2.12937,0.00100101,0.00100101,0.00100101
7,167.128,1.39451,2.72865,1.61153,0.63609,0.70826,0.73196,0.43933,1.35242,1.87626,2.01676,0.000979013,0.000979013,0.000979013
8,189.646,1.36577,2.6553,1.61953,0.79692,0.8,0.85056,0.53223,1.56512,1.73044,2.20529,0.000957015,0.000957015,0.000957015
9,213.29,1.3495,2.42447,1.57995,0.82651,0.95906,0.96167,0.5324,1.60745,1.59047,2.32248,0.000935018,0.000935018,0.000935018
10,236.958,1.33855,2.28777,1.58897,0.7857,0.8,0.82203,0.38071,2.0087,1.53314,2.66722,0.00091302,0.00091302,0.00091302
11,259.102,1.3582,2.26963,1.61324,0.78574,0.74296,0.79667,0.55447,1.75432,1.37201,2.58664,0.000891022,0.000891022,0.000891022
12,282.436,1.27109,2.04363,1.54927,0.83271,0.99625,0.96167,0.53113,1.61328,1.6363,2.27928,0.000869024,0.000869024,0.000869024
13,304.546,1.29644,2.04252,1.55452,0.89823,0.8,0.93786,0.51172,1.70478,1.57263,2.48271,0.000847026,0.000847026,0.000847026
14,327.401,1.30877,1.92076,1.5147,0.7838,0.8,0.75916,0.41861,1.91953,1.2697,2.49608,0.000825029,0.000825029,0.000825029
15,349.317,1.26119,1.8302,1.50724,0.79756,0.79024,0.70948,0.35902,2.11757,1.82537,2.91054,0.000803031,0.000803031,0.000803031
16,371.717,1.24161,1.79537,1.50502,0.78637,0.74547,0.67853,0.32571,2.21111,1.99707,3.04788,0.000781033,0.000781033,0.000781033
17,393.268,1.23413,1.67003,1.48422,0.81024,1,0.96167,0.50124,1.44032,1.1082,2.08716,0.000759035,0.000759035,0.000759035
18,415.257,1.24272,1.63632,1.48021,0.7008,0.94337,0.89786,0.46155,1.59152,1.85476,2.26749,0.000737037,0.000737037,0.000737037
19,438.091,1.19654,1.62123,1.45174,0.7759,0.70361,0.92833,0.41339,2.10666,2.10777,2.98985,0.00071504,0.00071504,0.00071504
20,459.272,1.20815,1.51755,1.43268,0.78812,0.8,0.77382,0.37265,2.10297,0.98741,2.94126,0.000693042,0.000693042,0.000693042
21,482.425,1.18536,1.51863,1.45619,1,0.75087,0.80433,0.40545,2.0924,0.95051,2.73401,0.000671044,0.000671044,0.000671044
22,504.761,1.20821,1.48003,1.46383,0.78788,0.8,0.83833,0.50605,1.5603,1.22798,2.21529,0.000649046,0.000649046,0.000649046
23,527.1,1.18186,1.46314,1.44399,0.98861,1,0.995,0.51548,1.75826,0.76968,2.33752,0.000627048,0.000627048,0.000627048
24,550.251,1.15595,1.40752,1.41961,0.99882,1,0.995,0.51991,1.88097,0.98011,2.66445,0.000605051,0.000605051,0.000605051
25,572.066,1.13454,1.35806,1.42202,0.79634,0.8,0.8125,0.49692,1.65822,1.80445,2.57095,0.000583053,0.000583053,0.000583053
26,595.14,1.11592,1.33798,1.4304,0.99488,0.8,0.80813,0.43621,1.85248,0.81366,2.56008,0.000561055,0.000561055,0.000561055
27,618.422,1.13601,1.34493,1.44434,0.77859,0.8,0.76773,0.40509,2.06555,0.89078,2.80658,0.000539057,0.000539057,0.000539057
28,641.081,1.06647,1.26743,1.36589,0.79149,0.8,0.85786,0.55358,1.57865,0.89136,2.27303,0.000517059,0.000517059,0.000517059
29,664.68,1.10512,1.29789,1.39447,0.97598,1,0.995,0.56661,1.49471,0.8133,2.11304,0.000495062,0.000495062,0.000495062
30,686.285,1.0445,1.18651,1.34009,0.98199,0.8,0.81326,0.45414,1.88996,1.06873,2.67292,0.000473064,0.000473064,0.000473064
31,709.246,1.08042,1.17459,1.36391,0.97598,0.8,0.87192,0.52214,1.65881,1.27951,2.45039,0.000451066,0.000451066,0.000451066
32,732.744,1.07242,1.15823,1.34295,0.82597,0.95583,0.92833,0.50225,1.86092,1.03122,2.74612,0.000429068,0.000429068,0.000429068
33,754.404,1.04824,1.12524,1.35534,0.79709,0.8,0.89786,0.49301,1.81846,0.87115,2.69407,0.00040707,0.00040707,0.00040707
34,777.096,1.04658,1.08136,1.33661,0.79004,0.8,0.70125,0.3267,1.91609,0.75428,2.83912,0.000385073,0.000385073,0.000385073
35,798.564,1.03873,1.08459,1.32519,0.82718,0.96311,0.96167,0.51599,1.74586,0.78695,2.5691,0.000363075,0.000363075,0.000363075
36,822.052,1.02626,1.05795,1.32996,1,0.7979,0.81711,0.58398,1.70956,1.36332,2.71971,0.000341077,0.000341077,0.000341077
37,844.909,1.01237,1.05442,1.30617,0.98517,0.8,0.837,0.5548,1.6087,0.69317,2.57634,0.000319079,0.000319079,0.000319079
38,866.621,1.02689,1.05075,1.3311,1,0.7994,0.8475,0.55069,1.62746,1.24542,2.33267,0.000297081,0.000297081,0.000297081
39,889.941,0.97168,0.97633,1.28467,0.98616,0.8,0.82731,0.57581,1.48313,0.68585,2.39568,0.000275084,0.000275084,0.000275084
40,912.811,0.95394,0.94255,1.30149,0.77653,0.8,0.77833,0.46367,1.67468,1.18609,2.46587,0.000253086,0.000253086,0.000253086
41,938.018,0.92814,0.86267,1.39295,0.79436,0.8,0.89786,0.62161,1.33107,0.76939,2.0623,0.000231088,0.000231088,0.000231088
42,961.073,0.88239,0.85024,1.38149,0.785,0.8,0.81382,0.55471,1.64392,0.82949,2.53513,0.00020909,0.00020909,0.00020909
43,982.148,0.88555,0.82532,1.34871,0.78599,0.8,0.785,0.45904,1.75912,0.95213,2.78389,0.000187092,0.000187092,0.000187092
44,1004.44,0.86431,0.77432,1.32921,0.75064,0.8,0.783,0.49237,1.64846,1.2621,2.49377,0.000165095,0.000165095,0.000165095
45,1025.81,0.84467,0.78702,1.32165,0.96467,1,0.995,0.51935,1.72667,1.16203,2.58707,0.000143097,0.000143097,0.000143097
46,1047.32,0.82812,0.73309,1.32127,0.98771,0.8,0.83,0.53825,1.70407,0.77809,2.66435,0.000121099,0.000121099,0.000121099
47,1068.38,0.82301,0.72202,1.32014,1,0.78639,0.83318,0.58465,1.56213,1.18788,2.40644,9.91012e-05,9.91012e-05,9.91012e-05
48,1090.19,0.80224,0.69695,1.28618,0.75721,0.8,0.78731,0.52597,1.63915,1.12871,2.58528,7.71034e-05,7.71034e-05,7.71034e-05
49,1112.13,0.79529,0.67262,1.31118,0.78347,0.8,0.77971,0.54801,1.59675,0.82775,2.59464,5.51056e-05,5.51056e-05,5.51056e-05
50,1133.12,0.77802,0.66362,1.25761,0.78236,0.8,0.77409,0.54274,1.57981,0.83232,2.54615,3.31078e-05,3.31078e-05,3.31078e-05
